text_en,text_tfidf
"We live near shettihalli railway gate. The road which leads to the underpass is not complete and broken. 

Railway was blamed from 10 years saying they are not making the underpass due to which BBMP and BWSSB cannot work.

Now that railways has done there work still we dont have a single lane basic road.

Everyday women, children and elderly people fall on this road due to rains and pot holes.

Its hard to believe that this is part main bangalore. 

The area is called gatepalya shettihalli jalahalli west.",live near shettihalli railway gate road lead underpass complete broken railway blamed year saying making underpass due bbmp bwssb cannot work railway done work still dont single lane basic road everyday woman child elderly people fall road due rain pot hole hard believe part main bangalore area called gatepalya shettihalli jalahalli west
Begur Road - 100s of dangerous potholes.. Full road is encroached with illegal shops.. road digging for work never gets properly closed.. pathetic to live in these areas,begur road dangerous pothole full road encroached illegal shop road digging work never get properly closed pathetic live area
The painters are working at heights without safety lifeline in 11 hamd villa moyenville road Langford Town Bangalore 560025,painter working height without safety lifeline hamd villa moyenville road langford town bangalore
"The roads are being dug by BBMP, BWSSB & GAIL for last 2 years. The road has not been laid so far. This is now causing dust and micro particles in the area..
Now there is health hazard of lung infection, eye irritation and allergy for residents and commuters. Please fix this before it gets worst",road dug bbmp bwssb gail last year road laid far causing dust micro particle area health hazard lung infection eye irritation allergy resident commuter please fix get worst
"No street lights on Hebbal fly over.

very dangerous at night",street light hebbal fly dangerous night
"Street lights on 9th Main Road are not lit, 2 Lights are not working. People are prone to accidents due to lack of visibility, Please fix all street lights immediately. We had called BBMP concerned official several times, but I have  not received any respond from them. docket no. 10489.",street light main road lit light working people prone accident due lack visibility please fix street light immediately called bbmp concerned official several time received respond docket
"There are quite a lot of old, unused telephone line poles with lot of cables hanging on them. This is hazardous for those driving on the road and also are hindrances for road traffic. location - bank Avenue colony 7th Street babusapalya. Requesting you to kindly remove these unused poles.",quite lot old unused telephone line pole lot cable hanging hazardous driving road also hindrance road traffic location bank avenue colony street babusapalya requesting kindly remove unused pole
"He garbage Collection vehicle does not come in our locality, even if they come once or twice in a week, they do not have any time. What should working people do? Leave their jobs and sit at home to wait for them? Or start throwing the garbage on roads? We pay taxes to get the basic service from government, not to suffer. Can you please get it resolved and ensure they come to collect the garbage on alternative days, if not regularly? It has made our lives hell. This is for 2nd cross, b sector, Ramaiahreddy Colony Basavanagar.",garbage collection vehicle come locality even come twice week time working people leave job sit home wait start throwing garbage road pay tax get basic service government suffer please get resolved ensure come collect garbage alternative day regularly made life hell cross sector ramaiahreddy colony basavanagar
The garbage has not been collected since more than 4 days. Dirt pilling up in our homes,garbage collected since day dirt pilling home
"Commercial activities doing in residential area
scrap waste dumping besides the houses",commercial activity residential area scrap waste dumping besides house
The garbage collection van comes everyday for wet waste but never on dry waste days (Wednesday and Saturday),garbage collection van come everyday wet waste never dry waste day wednesday saturday
"Please fix the 7th Cross road of Green Domain Layout, EPIP, Phase 2, Brookefield. It is having jelly stones for almost a month now. It needs to be asphalted and tarred.",please fix cross road green domain layout epip phase brookefield jelly stone almost month need asphalted tarred
The roads were dug up for the sake of laying drainage lines however post work the roads were not covered back with sufficient amount of mud hence the roads started caving in slowly due to consistent rains and now the roads have caved up so much that even heavy vehicles are getting stuck on the roads. More than 10 cars were caught in this pothole and took more than a day or a tractor to get them out. This is causing huge inconvenience as we aren't able to get the vehicle out of home as well.,road dug sake laying drainage line however post work road covered back sufficient amount mud hence road started caving slowly due consistent rain road caved much even heavy vehicle getting stuck road car caught pothole took day tractor get causing huge inconvenience able get vehicle home well
"Hi - From Mayuri Hotel till Raghavendra Swamy Mutt signal, various commercial establishments including banks let their customers park their 2 wheelers on the newly developed footpath. Police incharge don't say or do anything to solve this.

Was the footpath developed for 2 wheeler parking or commuters to use it for walking?

Please stop 2 wheelers from parking on the footpath on this entire stretch (almost 1 on stretch).

I've added only 1 photo. If more photos are needed, please let me know.

Thanks in advance.",mayuri hotel till raghavendra swamy mutt signal various commercial establishment including bank let customer park wheeler newly developed footpath police incharge say anything solve footpath developed wheeler parking commuter use walking please stop wheeler parking footpath entire stretch almost stretch added photo photo needed please let know thanks advance
"Entire 60 feet road in AECS Layout, Kundalahalli is in very very bad shape. There are no footpaths on road, in fact there is no road for that matter. This road can be made so amazing, there are very good stores on that road, and it can be made like a beautiful walkway shopping type street.",entire foot road aec layout kundalahalli bad shape footpath road fact road matter road made amazing good store road made like beautiful walkway shopping type street
"Road humps are constructed in an unscientific way.  Even when traveling slowly, the vehicle cannot go smoothly over the hump. Both sides of the hump are broken and so it is very uncomfortable to drive on.  My friends have complained of back pain caused by driving on this hump.  Requesting that it be removed for the safety of drivers",road hump constructed unscientific way even traveling slowly vehicle cannot smoothly hump side hump broken uncomfortable drive friend complained back pain caused driving hump requesting removed safety driver
The said car has been parking since a month in the said place blocking incoming traffic. It is close to transformer as well. The BESCOM people couldn’t carry out there maintenance work due to this car. Multiple complaints to the owner fell on deaf ears. Please take suitable action.,said car parking since month said place blocking incoming traffic close transformer well bescom people carry maintenance work due car multiple complaint owner fell deaf ear please take suitable action
"There is no road existing here, it is causing accidents on a daily basis due to bad roads. No action has been taken despite raising complaints.",road existing causing accident daily basis due bad road action taken despite raising complaint
Our in front road is laid 8 -9 days back. but still it got closed. it's a hot summer without a water in our house. we need to rely on the water tanker. haven't had a proper bath from many days. we are going to nearby malls for restroom. please help us.,front road laid day back still got closed hot summer without water house need rely water tanker proper bath many day going nearby mall restroom please help
"This pile of garbage is right in front of Dr. B R Ambedkar Medical College in R T Nagar besides a footpath, causing a lot of inconvenience for the people around.",pile garbage right front ambedkar medical college nagar besides footpath causing lot inconvenience people around
Road dug up by KC Valley project not asphalted yet even after 1 year resulting dust pollution and health issues.,road dug valley project asphalted yet even year resulting dust pollution health issue
"Stray dogs are attacking my car almost everyday, it's becoming pain to control these dogs. My sincere request to help me with this issue. These dogs toar car cover and removed my car bumper.. got it fixed but again they are doing same.",stray dog attacking car almost everyday becoming pain control dog sincere request help issue dog toar car cover removed car bumper got fixed
The road that connects BDA layout with old airport road.,road connects bda layout old airport road
"BWSSB work was happening on the ""old airport wall road"" after which no one has bothered to lay the road. It has been dug and left for the last 5 months now with no sign/info on when the road will be laid. 
Wall road is the main access road for all Murugeshpalya residents and we have now lived without an access road for 5 months
How much more time does BWSSP/BBMP need to fix the road?",bwssb work happening old airport wall road one bothered lay road dug left last month sign info road laid wall road main access road murugeshpalya resident lived without access road month much time bwssp bbmp need fix road
Openings created for rain water entry to water harvest pits inside SWDs not covered with safety /debris grills making them hazardous for public and animals,opening created rain water entry water harvest pit inside swds covered safety debris grill making hazardous public animal
Sevage water is over flowing and entire road is stinking. Sevage water is flowing back to many house toilet. Upon multiple complaints there is no action from any department. Please need your help.,sevage water flowing entire road stinking sevage water flowing back many house toilet upon multiple complaint action department please need help
"Unknown person parked unknown vehicle very my compound wall since last year and pasted paper to remove the car from here, but no one attended so far. We are really scared about this vehicle what it contains!, also it's obstructing vehicle movement and we are not able to park scooters, cycle inside because door is not opening and we are not able to park other vehicles. Hence please get this vehicle removed from here. Thank you.
Regards
Julie Prasad
81050 67886",unknown person parked unknown vehicle compound wall since last year pasted paper remove car one attended far really scared vehicle contains also obstructing vehicle movement able park scooter cycle inside door opening able park vehicle hence please get vehicle removed thank regard julie prasad
The builder is dumping garbage inside the premises illegally as it was not thier in plan. This is threat to some 500 families staying here .,builder dumping garbage inside premise illegally thier plan threat family staying
